dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,name,team,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Fri,2022-08-05,20:30 ,Eint Frankfurt,0.9,1–6,4.0,Bayern Munich,"51,500",Deutsche Bank Park,Deniz Aytekin,Kevin Trapp,Eint Frankfurt,de GER,32-028,90,10,6,4,40.0,3.7,5,12,41.7,21,3,47.6,36.5,9,22.2,31.1,10,0,0.0,0,3.0
Fri,2022-08-05,20:30 ,Eint Frankfurt,0.9,1–6,4.0,Bayern Munich,"51,500",Deutsche Bank Park,Deniz Aytekin,Manuel Neuer,Bayern Munich,de GER,36-131,90,2,1,1,50.0,0.4,3,6,50.0,41,8,14.6,25.4,4,0.0,22.8,10,0,0.0,3,24.7
Sat,2022-08-06,15:30 ,Wolfsburg,1.0,2–2,0.8,Werder Bremen,"28,015",Volkswagen Arena,Sascha Stegemann,Koen Casteels,Wolfsburg,be BEL,30-042,90,4,2,2,50.0,0.7,3,11,27.3,31,10,29.0,29.3,4,50.0,45.5,9,0,0.0,3,19.6
Sat,2022-08-06,15:30 ,Wolfsburg,1.0,2–2,0.8,Werder Bremen,"28,015",Volkswagen Arena,Sascha Stegemann,Jiří Pavlenka,Werder Bremen,cz CZE,30-114,90,3,2,1,33.3,1.4,6,22,27.3,24,3,54.2,44.3,11,81.8,61.8,14,1,7.1,0,7.0
Sat,2022-08-06,15:30 ,Augsburg,0.7,0–4,1.3,Freiburg,"25,310",WWK Arena,Bastian Dankert,Rafał Gikiewicz,Augsburg,pl POL,34-284,90,7,4,3,42.9,2.4,11,21,52.4,40,6,37.5,35.0,7,85.7,53.0,14,0,0.0,0,11.0
Sat,2022-08-06,15:30 ,Augsburg,0.7,0–4,1.3,Freiburg,"25,310",WWK Arena,Bastian Dankert,Mark Flekken,Freiburg,nl NED,29-054,90,2,0,2,100.0,0.2,11,24,45.8,42,1,52.4,41.5,4,50.0,43.3,7,2,28.6,1,9.5
Sat,2022-08-06,15:30 ,Union Berlin,1.0,3–1,0.3,Hertha BSC,"22,012",Stadion An der Alten Försterei,Marco Fritz,Frederik Rønnow,Union Berlin,dk DEN,30-002,90,3,1,2,66.7,0.7,8,17,47.1,25,3,52.0,38.4,5,80.0,55.4,16,0,0.0,1,14.0
Sat,2022-08-06,15:30 ,Union Berlin,1.0,3–1,0.3,Hertha BSC,"22,012",Stadion An der Alten Försterei,Marco Fritz,Oliver Christensen,Hertha BSC,dk DEN,23-137,90,8,3,5,62.5,2.6,6,11,54.5,25,9,32.0,30.9,7,42.9,44.0,19,2,10.5,1,8.8
Sat,2022-08-06,15:30 ,M'Gladbach,1.9,3–1,0.1,Hoffenheim,"49,659",Stadion im Borussia-Park,Daniel Siebert,Yann Sommer,M'Gladbach,ch SUI,33-232,90,1,1,0,0.0,0.0,4,9,44.4,31,2,29.0,30.2,2,0.0,17.5,7,0,0.0,2,19.0
Sat,2022-08-06,15:30 ,M'Gladbach,1.9,3–1,0.1,Hoffenheim,"49,659",Stadion im Borussia-Park,Daniel Siebert,Oliver Baumann,Hoffenheim,de GER,32-065,90,7,3,4,57.1,3.0,8,21,38.1,48,2,41.7,34.1,4,25.0,24.0,13,1,7.7,0,7.6
Sat,2022-08-06,15:30 ,Bochum,0.9,1–2,1.4,Mainz 05,"24,110",Vonovia Ruhrstadion,Felix Zwayer,Manuel Riemann,Bochum,de GER,33-331,90,6,2,4,66.7,1.8,19,36,52.8,52,3,57.7,40.5,8,75.0,48.8,13,0,0.0,9,33.5
Sat,2022-08-06,15:30 ,Bochum,0.9,1–2,1.4,Mainz 05,"24,110",Vonovia Ruhrstadion,Felix Zwayer,Robin Zentner,Mainz 05,de GER,27-282,90,3,1,2,66.7,0.7,7,20,35.0,19,8,63.2,46.7,8,100.0,69.3,16,2,12.5,2,10.2
Sat,2022-08-06,18:30 ,Dortmund,1.8,1–0,1.3,Leverkusen,"81,365",Signal Iduna Park,Felix Brych,Gregor Kobel,Dortmund,ch SUI,24-243,90,3,0,3,100.0,0.9,4,15,26.7,29,5,34.5,34.2,7,71.4,50.9,14,2,14.3,1,10.7
Sat,2022-08-06,18:30 ,Dortmund,1.8,1–0,1.3,Leverkusen,"81,365",Signal Iduna Park,Felix Brych,Lukáš Hrádecký,Leverkusen,fi FIN,32-255,89,4,1,3,75.0,1.9,2,11,18.2,37,8,21.6,28.4,10,30.0,39.4,8,1,12.5,2,24.3
Sat,2022-08-06,18:30 ,Dortmund,1.8,1–0,1.3,Leverkusen,"81,365",Signal Iduna Park,Felix Brych,Edmond Tapsoba,Leverkusen,bf BFA,23-185,1,0,0,0,,0.0,0,1,0.0,0,0,,,1,100.0,77.0,0,0,,0,
Sun,2022-08-07,15:30 ,Stuttgart,0.8,1–1,1.6,RB Leipzig,"46,000",Mercedes-Benz Arena,Tobias Stieler,Florian Müller,Stuttgart,de GER,24-267,90,9,1,8,88.9,2.3,8,18,44.4,29,3,37.9,31.8,10,70.0,51.4,19,0,0.0,1,19.0
Sun,2022-08-07,15:30 ,Stuttgart,0.8,1–1,1.6,RB Leipzig,"46,000",Mercedes-Benz Arena,Tobias Stieler,Péter Gulácsi,RB Leipzig,hu HUN,32-093,90,2,1,1,50.0,0.5,2,5,40.0,31,5,12.9,27.8,7,14.3,25.6,3,0,0.0,0,
Sun,2022-08-07,17:30 ,Köln,4.1,3–1,0.2,Schalke 04,"50,000",RheinEnergieSTADION,Robert Schröder,Marvin Schwäbe,Köln,de GER,27-104,90,2,1,1,50.0,0.3,1,3,33.3,40,2,7.5,23.5,3,0.0,21.0,7,0,0.0,2,25.0
Sun,2022-08-07,17:30 ,Köln,4.1,3–1,0.2,Schalke 04,"50,000",RheinEnergieSTADION,Robert Schröder,Alexander Schwolow,Schalke 04,de GER,30-066,90,10,3,7,70.0,3.0,10,25,40.0,18,2,83.3,54.4,11,90.9,64.3,28,2,7.1,0,4.0
